Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
Al4Se6,0,-0.833,10,581.752,-44.175,0,0.007,808.565,1.529,1.524
Co2Se3,0,-0.255,5,354.779,-28.18,0,0.009,350.801,0.257,0.255
Ga4Se6,0,-0.523,10,752.718,-37.736,0,0.007,733.692,0.529,0.405
Rh4S6,0,-0.45,10,603.982,-57.557,0,0.007,425.002,0.553,0.44
Tl8Cl12,0,-0.864,20,2060.44,-58.691,0,0.009,2311.767,1.915,1.915
Hg10F4,0,-0.699,14,2081.914,-24.991,0.001,0.009,1149.01,1.178,1.172
Ag6I6,0,-0.243,12,1408.636,-28.824,0,0.004,1028.225,1.755,1.504
Au4Br4,0,-0.075,8,1107.482,-19.456,0,0.007,660.351,1.539,1.482
Li4Br4,0,-1.542,8,347.376,-26.236,0,0.009,510.743,4.978,4.929
Li2Cl2,0,-1.806,4,84.78,-14.574,0,0.008,220.977,5.899,5.896
FeCl2,2.284,-0.742,3,126.745,-14.836,0,0.003,191.025,0,0
K6F6,0,-2.767,12,348.58,-50.042,0.002,0.008,569.852,5.201,5.179
Sn4O4,0,-1.258,8,538.836,-46.79,0,0.009,455.962,1.983,1.938
Cd4Cl8,0,-1.079,12,733.256,-30.942,0,0.009,878.635,3.363,3.359
Tl4O2,0,-0.586,6,849.518,-23.755,0,0.007,401.258,0.977,0.819
PdS2,0,-0.234,3,170.54,-12.679,0,0.008,248.409,1.092,1.095
Tl4S2,0,-0.317,6,881.64,-20.053,0,0.003,548.907,1.35,1.169
Se8Si4,0,-0.387,12,744.108,-54.099,0,0.008,961.728,1.026,1.023
Sr2Cl4,0,-2.435,6,317.04,-25.101,0,0.007,589.88,5.484,5.478
Zr2S4,0,-1.52,6,310.688,-40.236,0,0.005,425.223,0.704,0.702
Hf2I4Se4,0,-0.87,10,1180.482,-43.559,0,0.007,912.684,1.547,1.386
Sc2Br2Te,2.822,-1.375,5,377.32,-22.57,0,0.003,302.696,0,0
Y2Cl4S4,0,-1.568,10,447.852,-48.518,0,0.008,868.818,1.586,1.586
Mn4Cl12,0,-0.88,16,645.152,-74.365,0,0.01,941.982,0.498,0.497
Pd2F6,0,-1.326,8,326.83,-27.77,0.003,0.01,462.216,0.452,0.425
Al2Cl2Se2,0,-1.164,6,282.805,-24.994,0,0.005,487.832,3.737,3.662
Rb2Zn2As2,0,-0.387,6,451.539,-15.837,0,0.007,395.031,0,0.116
Be2K2P2,0.407,-0.39,6,158.168,-22.914,0,0.01,302.018,0,0.023
Hg2Br2I2,0,-0.438,6,814.801,-10.526,0,0.009,648.227,1.66,1.469
Y2Br2S2,0,-2.087,6,401.74,-33.231,0,0.006,463.449,2.994,2.969
Pb4Cl4I4,0,-0.883,12,1478.218,-38.688,0,0.008,1172.779,3.04,2.101
Y4Cl4Te4,0,-1.776,12,1007.823,-60.034,0,0.002,1151.375,0.541,0.388
Cu2Li2Se2,0,-0.625,6,298.914,-21.849,0.001,0.002,275.691,1.135,1.127
Y2F2S2,0,-3.024,6,279.928,-38.858,0.001,0.008,395.686,2.697,2.693
Y2I2Se2,0,-1.686,6,589.563,-29.419,0,0.003,574.295,3.037,2.724
Li2Tl2Te2,0,-0.625,6,677.84,-18.935,0,0.008,424.451,1.165,1.041
Au2Cl2Se4,0,-0.113,8,780.717,-24.664,0,0.01,759.978,0.909,0.883
Ag2Cd2Br6,0,-0.682,10,919.988,-23.859,0,0.004,826.549,2.318,2.24
Au2Cd2I6,0,-0.367,10,1380.188,-20.655,0,0.01,939.209,1.627,1.421
Cd2Li2I6,0,-0.811,10,1000.135,-22.613,0,0.009,934.577,2.808,2.482
Cu2Ni2Br6,0,-0.359,10,723.903,-34.943,0,0.009,672.491,0.526,0.478
Nb3Br8,0,-0.978,11,917.951,-54.419,0,0.005,1494.98,0.302,0.293
As4O12S2,0,-1.232,18,555.794,-110.478,0,0.005,1939.406,4.476,4.456
Bi4B4O12,0,-1.861,20,1071.15,-144.235,0,0.01,1432.775,3.702,2.865
Cu4O12Te2,0,-0.581,18,701.372,-93.071,0,0.007,1630.407,0.467,0.449
Ga2Y2I2,1.957,-1.07,6,571.067,-24.568,0,0.007,585.273,0,0
Mg2P2S6,0,-0.773,10,302.918,-46.164,0,0.005,1077.399,2.797,2.796
Mo2Br4O4,0,-1.384,10,575.512,-63.082,0,0.006,1075.846,1.484,1.424
Nb2Cl4Se4,0,-0.97,10,643.497,-51.422,0,0.01,1267.612,1.078,1.08
Nb4Ge2Te8,0,-0.5,14,1537.685,-82.982,0,0.009,1757.823,0.423,0.416
Pd3P2S8,0,-0.348,13,637.688,-59.336,0,0.003,1703.978,1.852,1.75
AgScP2Se6,0,-0.534,10,688.598,-44.469,0,0.009,1235.544,1.691,1.634
Ca2Cl4H8O4,0,-1.534,18,294.016,-85.86,0,0.006,1582.467,5.721,5.714
Na2PtH6O6,0,-1.142,15,343.106,-76.794,0,0.005,990.644,3.029,2.835
Sn2H2O6P2,0,-1.532,12,397.378,-74.615,0,0.01,1072.43,4.367,4.3
Sn2C2H6O6P2,0,-1.145,18,425.432,-108.58,0,0.008,1156.901,4.06,4.034
Ge2Te2,0,-0.004,4,400.46,-15.455,0,0.009,432.379,1.103,1.065
Y2C2I2,1.303,-0.904,6,455.643,-36.205,0,0.004,527.393,0,0
Zr2Br2Cl2,0,-1.499,6,413.156,-30.538,0,0.008,424.877,0.603,0.593
Y3F2N2,1.904,-2.614,7,332.728,-52.252,0,0,237.689,0,0
Tl2Cl2,0,-0.965,4,479.66,-12.427,0,0,474.751,4.001,3.629
Pd2F2,0,-0.91,4,250.837,-14.452,0,0,177.441,0.904,0.865
Zn2I2,0,-0.372,4,384.569,-6.813,0,0,287.032,2.151,2.091
In2Se2,0,-0.538,4,387.578,-14.642,0,0,292.792,1.431,1.404
Ni2Te2,2.851,-0.14,4,372.587,-21.463,0,0,240.245,0,0
Pb2S2,0,-0.514,4,478.52,-17.73,0,0,307.879,1.673,1.162
CaCl2,0,-2.421,3,110.978,-12.846,0,0,263.973,5.789,5.784
CoCl2,0,-0.603,3,129.833,-13.606,0,0,191.144,0.348,0.351
MoS2,0,-0.921,3,160.07,-22.121,0,0,159.156,1.648,1.58
NiO2,0,-0.709,3,90.691,-19.622,0,0,118.006,1.282,1.281
PbBr2,0,-0.965,3,367.008,-9.823,0,0,319.586,2.714,2.004
SnSe2,0,-0.291,3,276.652,-11.896,0,0,291.578,0.859,0.86
VTe2,0,-0.307,3,306.141,-15.854,0,0,207.478,0.237,0.212
W2Se4,0,-0.503,6,683.564,-39.918,0,0,362.703,0,0.032
YCl2,0,-2.048,3,159.806,-14.407,0,0,221.204,0.374,0.374
